Customer Code,Regular.VIC,Express.VIC,Regular.NSW,Express.NSW,International,ELMS,Wine.VIC,Wine.NSW,OnDemand,APGL,All.services,"Road.Express,Priority,Local,Fees.and.Surcharges",Road.Express,VIC.Borders,NSW.Borders,VIC.Cartage,NSW.Cartage,SEKO,All.Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OZS,,,10.00%,15.00%,15.00%,,,15.00%,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12.50%,10.00%,,,10.00%,,,,,,,21.00%,,,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMJ,,,,,,,7.50%,7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZY,12.50%,12.50%,12.50%,12.50%,,15.00%,,,,,,12.50%,,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH,12.50%,15.00%,12.50%,15.00%,15.00%,,,,,,,15.00%,,15.00%,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM,,,15.00%,15.00%,,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR,10.00%,10.00%,10.00%,10.00%,20.00%,,,10.00%,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDU,15.00%,15.00%,,,15.00%,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOC,,,10.00%,10.00%,10.00%,10.00%,,,,,,21.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOS,17.50%,17.50%,,,17.50%,,,,,,,,,,,,,,17.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SST,12.50%,12.50%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST2,10%,10%,10%,10%,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN,15.00%,15.00%,,,15.00%,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUS,15.00%,15.00%,15.00%,15.00%,15.00%,,,,,,,15.00%,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEM,12.50%,12.50%,,,,,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THC,15.00%,15.00%,15.00%,15.00%,15.00%,,,,,,,,,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLH,10.00%,10.00%,,,10.00%,,,,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSS,15.00%,15.00%,,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTU,12.50%,12.50%,,,12.50%,,,,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUS,,,15.00%,15.00%,15.00%,,,,,,,10.00%,15.00%,,15.00%,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYA,,,,,,,,,,,10.00%,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYF,20.00%,20.00%,20.00%,20.00%,20.00%,,,,,,,21.00%,,20.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL,,,10.00%,10.00%,10.00%,,,,,15.00%,10.00%,21.00%,10.00%,,10.00%,,17.50%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBD,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUT,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAP,7.50%,10.00%,7.50%,10.00%,10.00%,10.00%,,,,,,21.00%,,,,17.50%,17.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCO,10.00%,10.00%,10.00%,10.00%,10.00%,,,,,,,,10.00%,10.00%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
