"","BILLING.DOC","DESCRIPTION","SERVICE.DATE","avg_division"
"17445",7817320064,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17446",7817320064,"eParcel Post Return",16022024,0.106418918918919
"17447",7817320065,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17448",7817320065,"eParcel Post Return",16022024,0.088495575221239
"17449",7817320265,"Express Courier International (eParcel)",16022024,0
"17450",7817320267,"Express Courier International (eParcel)",16022024,0
"17451",7817320269,"Express Courier International (eParcel)",16022024,0
"17452",7817320271,"Express Courier International (eParcel)",16022024,0
"17453",7817320273,"Express Courier International (eParcel)",16022024,0
"17454",7817320275,"Express Courier International (eParcel)",16022024,0
"17455",7817320277,"Express Courier International (eParcel)",16022024,0
"17456",7817320278,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17457",7817320278,"Parcel Post with Signature",16022024,0.0879391544416175
"17458",7817320280,"Express Courier International (eParcel)",16022024,0
"17459",7817320282,"Express Courier International (eParcel)",16022024,0
"17460",7817320284,"Express Courier International (eParcel)",16022024,0
"17461",7817320286,"Express Courier International (eParcel)",16022024,0
"17462",7817320368,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17463",7817320368,"Parcel Post with Signature",16022024,0.0881915321689858
"17464",7817320370,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17465",7817320370,"Parcel Post with Signature",16022024,0.0883313062683221
"17466",7817320479,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17467",7817320479,"Parcel Post with Signature",16022024,0.0880534973136761
"17468",7817320513,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17469",7817320513,"eParcel Post Return",16022024,0.088495575221239
"17470",7817320514,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17471",7817320514,"eParcel Post Return",16022024,0.088495575221239
"17472",7817320696,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17473",7817320696,"AP Security Mgt Charge",16022024,NA
"17474",7817320696,"Express Post with Signature",16022024,0.0885496183206107
"17475",7817320709,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17476",7817320709,"Parcel Post with Signature",16022024,0.0879724955805145
"17477",7817320989,"Express Courier International (eParcel)",16022024,0
"17478",7817320990,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17479",7817320990,"AP Security Mgt Charge",16022024,NA
"17480",7817320990,"Express Post with Signature",16022024,0.0877838500229432
"17481",7817320990,"Parcel Post with Signature",16022024,0.0883647491515586
"17482",7817321478,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17483",7817321478,"Parcel Post with Signature",16022024,0.0881635490994994
"17484",7817321486,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17485",7817321486,"Parcel Post with Signature",16022024,0.0880922209488254
"17486",7817321763,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17487",7817321763,"eParcel Post Return",16022024,0.088495575221239
"17488",7817321820,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17489",7817321820,"AP Security Mgt Charge",16022024,NA
"17490",7817321820,"Express Post with Signature",16022024,0.0882097764411413
"17491",7817321820,"Parcel Post with Signature",16022024,0.0881350419143397
"17492",7817322081,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17493",7817322081,"eParcel Post Return",16022024,0.105902777777778
"17494",7817322082,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17495",7817322082,"eParcel Post Return",16022024,0.0885416666666667
"17496",7817322083,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17497",7817322083,"eParcel Post Return",16022024,0.088495575221239
"17498",7817322084,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17499",7817322084,"eParcel Post Return",16022024,0.088495575221239
"17500",7817322085,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17501",7817322085,"eParcel Post Return",16022024,0.088495575221239
"17502",7817322233,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17503",7817322233,"Parcel Post with Signature",16022024,0.088243831640058
"17504",7817322490,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17505",7817322490,"AP Security Mgt Charge",16022024,NA
"17506",7817322490,"Express Post with Signature",16022024,0.0880553556238958
"17507",7817322490,"Parcel Post with Signature",16022024,0.0883015504437677
